seller_state,customer_state,seller_lat,seller_lon,customer_lat,customer_lon,distancia_km_estado_api,tiempo_min_estado_api
DF,GO,-15.813683037452757,-47.98760523145338,-16.68354215460362,-49.381153491849254,215.071,189.18333333333334
DF,MA,-15.813683037452757,-47.98760523145338,-3.4058375271605,-44.64292837876669,1987.683,1601.35
DF,MG,-15.813683037452757,-47.98760523145338,-19.8368783860845,-44.510639137486805,723.431,598.1166666666667
DF,MS,-15.813683037452757,-47.98760523145338,-20.575582054079366,-54.349280375688835,1031.273,811.95
DF,MT,-15.813683037452757,-47.98760523145338,-14.384495553384413,-55.70381903559229,1210.09,953.2833333333333
DF,PA,-15.813683037452757,-47.98760523145338,-2.5779707785785626,-49.18814577989,,
DF,PB,-15.813683037452757,-47.98760523145338,-7.08222958978264,-35.47505093762009,2212.097,1817.7166666666667
DF,PE,-15.813683037452757,-47.98760523145338,-8.152025608548277,-35.496966580938214,2056.473,1720.6333333333334
DF,PI,-15.813683037452757,-47.98760523145338,-5.445069601178928,-42.63079628237705,1641.683,1312.2333333333333
DF,PR,-15.813683037452757,-47.98760523145338,-24.90691454342181,-50.609280255724634,1294.798,995.55
DF,RJ,-15.813683037452757,-47.98760523145338,-22.82382338311478,-43.149285809858725,1164.134,935.1166666666667
DF,RN,-15.813683037452757,-47.98760523145338,-5.877178040487796,-35.78408280910874,2290.562,1888.6833333333334
DF,RS,-15.813683037452757,-47.98760523145338,-29.718839490402164,-51.95608564360721,2205.679,1606.8333333333333
DF,SC,-15.813683037452757,-47.98760523145338,-27.218038920844723,-49.48212805960794,1708.594,1288.25
DF,SE,-15.813683037452757,-47.98760523145338,-10.917756569914832,-37.14663957244331,1635.421,1339.1333333333334
DF,SP,-15.813683037452757,-47.98760523145338,-23.12163436196996,-47.07170455949694,941.507,694.8666666666667
DF,TO,-15.813683037452757,-47.98760523145338,-9.86555699236114,-48.36818486950135,933.942,683.3833333333333
ES,BA,-20.226267289831803,-40.387405884400685,-13.168811510716369,-39.553189440104376,980.78,877.5333333333333
ES,CE,-20.226267289831803,-40.387405884400685,-4.1787898180713,-38.84914440855492,2152.402,1878.3333333333333
ES,DF,-20.226267289831803,-40.387405884400685,-15.813683037452757,-47.98760523145338,1249.305,1069.7833333333333
ES,ES,-20.226267289831803,-40.387405884400685,-20.226267289831803,-40.387405884400685,0.0,0.0
ES,GO,-20.226267289831803,-40.387405884400685,-16.68354215460362,-49.381153491849254,1418.717,1197.0166666666667
ES,MA,-20.226267289831803,-40.387405884400685,-3.4058375271605,-44.64292837876669,2449.996,2144.8166666666666
ES,MG,-20.226267289831803,-40.387405884400685,-19.8368783860845,-44.510639137486805,597.704,573.7666666666667
ES,MT,-20.226267289831803,-40.387405884400685,-14.384495553384413,-55.70381903559229,2316.423,1948.7666666666667
ES,PA,-20.226267289831803,-40.387405884400685,-2.5779707785785626,-49.18814577989,,
ES,PE,-20.226267289831803,-40.387405884400685,-8.152025608548277,-35.496966580938214,1827.107,1616.55
